#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent,,,,
,World,"49,034,766","+19,988","1,239,660",+783,"34,984,041","12,811,065","90,034","6,291",159.0,,,,All,,,,
,Asia,"14,138,234","+2,849","250,806",+32,"12,620,885","1,266,543","22,649",,,,,,Asia,,,,
,North America,"11,813,052","+5,862","360,400",+552,"7,760,985","3,691,667","21,812",,,,,,North America,,,,
,Europe,"11,310,734","+11,128","283,103",+189,"4,164,627","6,863,004","25,272",,,,,,Europe,,,,
1,USA,"9,919,522",,"240,953",,"6,340,472","3,338,097","18,160","29,907",726,"153,593,809","463,079","331,679,824",North America,,,,
,South America,"9,877,810",+139,"300,040",+10,"8,855,419","722,351","17,845",,,,,,South America,,,,
2,India,"8,411,724",+690,"125,029",,"7,765,966","520,729","8,944","6,075",90,"115,429,095","83,359","1,384,715,664",Asia,,,,
3,Brazil,"5,614,258",,"161,779",,"5,064,344","388,135","8,318","26,347",759,"21,900,000","102,776","213,085,794",South America,,,,
,Africa,"1,854,169",,"44,316",,"1,548,650","261,203","2,428",,,,,,Africa,,,,
4,Russia,"1,712,858",,"29,509",,"1,279,169","404,180","2,300","11,735",202,"63,000,000","431,636","145,956,429",Europe,,,,
5,France,"1,601,367",,"39,037",,"124,278","1,438,052","4,230","24,514",598,"17,055,801","261,095","65,324,114",Europe,,,,
6,Spain,"1,365,895",,"38,486",,N/A,N/A,"2,802","29,210",823,"18,072,174","386,479","46,761,136",Europe,,,,
7,Argentina,"1,217,028",,"32,766",,"1,030,137","154,125","4,713","26,842",723,"3,142,837","69,317","45,339,899",South America,,,,
8,UK,"1,123,197",,"48,120",,N/A,N/A,"1,191","16,515",708,"35,241,533","518,178","68,010,512",Europe,,,,
9,Colombia,"1,117,977",,"32,209",,"1,011,166","74,602","2,376","21,891",631,"5,258,238","102,959","51,071,028",South America,,,,
10,Mexico,"949,197","+5,567","93,772",+544,"701,837","153,588","2,800","7,335",725,"2,465,699","19,054","129,402,754",North America,,,,
11,Peru,"914,722",,"34,730",,"838,265","41,727","1,044","27,610","1,048","4,611,380","139,188","33,130,547",South America,,,,
12,Italy,"824,879",,"40,192",,"312,339","472,348","2,391","13,650",665,"16,717,651","276,642","60,430,550",Europe,,,,
13,South Africa,"732,414",,"19,677",,"671,579","41,158",546,"12,296",330,"4,917,625","82,556","59,567,472",Africa,,,,
14,Iran,"654,936",,"36,985",,"505,287","112,664","5,472","7,763",438,"5,110,752","60,579","84,364,914",Asia,,,,
15,Germany,"619,116",,"11,190",,"391,600","216,326","2,653","7,381",133,"23,393,311","278,898","83,877,696",Europe,,,,
16,Chile,"516,582",,"14,404",,"493,250","8,928",725,"26,943",751,"4,462,086","232,724","19,173,266",South America,,,,
17,Iraq,"489,571",,"11,175",,"420,206","58,190",412,"12,079",276,"2,950,888","72,806","40,530,983",Asia,,,,
18,Belgium,"479,341","+11,128","12,520",+189,"27,987","438,834","1,428","41,297","1,079","5,174,287","445,781","11,607,251",Europe,,,,
19,Poland,"466,679",,"6,842",,"177,681","282,156","1,615","12,336",181,"5,030,381","132,966","37,832,035",Europe,,,,
20,Ukraine,"430,467",,"7,924",,"184,782","237,761",177,"9,864",182,"3,312,549","75,905","43,640,875",Europe,,,,
21,Indonesia,"425,796",,"14,348",,"357,142","54,306",,"1,551",52,"4,678,096","17,041","274,527,061",Asia,,,,
22,Bangladesh,"416,006",,"6,021",,"333,588","76,397",,"2,517",36,"2,404,902","14,552","165,259,036",Asia,,,,
23,Czechia,"391,945",,"4,330",,"214,272","173,343","1,156","36,576",404,"2,472,293","230,712","10,715,944",Europe,,,,
24,Netherlands,"390,488",,"7,769",,N/A,N/A,622,"22,771",453,"3,327,701","194,056","17,148,155",Europe,,,,
25,Philippines,"389,725",,"7,409",,"349,543","32,773","1,483","3,540",67,"4,935,203","44,831","110,085,388",Asia,,,,
26,Turkey,"386,820",,"10,639",,"332,379","43,802","2,564","4,569",126,"14,700,951","173,660","84,653,848",Asia,,,,
27,Saudi Arabia,"349,386",,"5,489",,"336,068","7,829",763,"9,982",157,"8,333,264","238,088","35,000,813",Asia,,,,
28,Pakistan,"340,251","+1,376","6,923",+30,"317,086","16,242",830,"1,530",31,"4,609,513","20,730","222,364,036",Asia,,,,
29,Israel,"317,863",,"2,639",,"306,113","9,111",331,"34,559",287,"4,761,559","517,696","9,197,590",Asia,,,,
30,Romania,"276,802",,"7,540",,"191,085","78,177","1,014","14,423",393,"3,379,609","176,092","19,192,290",Europe,,,,
31,Canada,"251,338",,"10,381",,"207,998","32,959",234,"6,639",274,"9,763,591","257,906","37,857,209",North America,,,,
32,Morocco,"240,951",,"4,059",,"197,215","39,677",874,"6,501",110,"3,430,860","92,571","37,062,105",Africa,,,,
33,Switzerland,"202,504",,"2,628",,"87,100","112,776",392,"23,339",303,"2,119,502","244,276","8,676,666",Europe,,,,
34,Nepal,"185,974",,"1,052",,"148,408","36,514",,"6,344",36,"1,507,190","51,410","29,316,952",Asia,,,,
35,Ecuador,"171,783",,"12,730",,"149,048","10,005",338,"9,686",718,"558,584","31,495","17,735,474",South America,,,,
36,Portugal,"161,350",,"2,740",,"91,453","67,157",320,"15,840",269,"3,562,801","349,766","10,186,233",Europe,,,,
37,Bolivia,"142,201",+139,"8,768",+10,"113,386","20,047",71,"12,125",748,"336,834","28,720","11,728,056",South America,,,,
38,Sweden,"141,764",,"6,002",,N/A,N/A,90,"14,007",593,"2,242,469","221,561","10,121,226",Europe,,,,
39,UAE,"138,599",,508,,"136,118","1,973",,"13,955",51,"13,712,882","1,380,707","9,931,784",Asia,,,,
40,Panama,"136,567",,"2,756",,"115,078","18,733",117,"31,480",635,"694,228","160,027","4,338,182",North America,,,,
41,Qatar,"133,619",,232,,"130,680","2,707",40,"47,588",83,"1,001,488","356,680","2,807,805",Asia,,,,
42,Austria,"132,515",,"1,268",,"80,604","50,643",407,"14,684",141,"2,362,948","261,842","9,024,330",Europe,,,,
43,Kuwait,"129,638",,799,,"120,564","8,275",115,"30,202",186,"947,921","220,839","4,292,369",Asia,,,,
44,Dominican Republic,"128,824",,"2,260",,"106,650","19,914",162,"11,834",208,"612,758","56,290","10,885,675",North America,,,,
45,Oman,"117,167",,"1,286",,"107,368","8,513",145,"22,747",250,"376,700","73,134","5,150,841",Asia,,,,
46,Kazakhstan,"114,826",+591,"1,857",,"107,339","5,630",221,"6,090",98,"3,645,655","193,357","18,854,495",Asia,,,,
47,Costa Rica,"114,367",,"1,444",,"70,002","42,921",177,"22,380",283,"326,539","63,898","5,110,284",North America,,,,
48,Guatemala,"109,849",,"3,766",,"99,753","6,330",5,"6,093",209,"446,889","24,787","18,029,415",North America,,,,
49,Egypt,"108,530",,"6,329",,"100,006","2,195",41,"1,054",61,"135,000","1,311","102,997,143",Africa,,,,
50,Japan,"103,838",,"1,794",,"95,113","6,931",183,822,14,"2,787,543","22,064","126,340,017",Asia,,,,
51,Belarus,"103,295",,998,,"89,131","13,166",,"10,933",106,"2,600,742","275,262","9,448,231",Europe,,,,
52,Armenia,"99,563",,"1,476",,"60,135","37,952",,"33,577",498,"423,485","142,819","2,965,184",Asia,,,,
53,Honduras,"99,347",+223,"2,736",+6,"42,574","54,037",24,"9,976",275,"231,650","23,261","9,958,901",North America,,,,
54,Ethiopia,"98,391",,"1,508",,"57,114","39,769",346,849,13,"1,510,144","13,026","115,933,899",Africa,,,,
55,Jordan,"95,864",,"1,069",,"8,336","86,459",323,"9,363",104,"1,980,683","193,458","10,238,303",Asia,,,,
56,Hungary,"94,916",,"2,147",,"22,823","69,946",378,"9,834",222,"1,147,616","118,903","9,651,712",Europe,,,,
57,Venezuela,"93,921",,819,,"88,701","4,401",117,"3,306",29,"2,168,642","76,340","28,407,554",South America,,,,
58,Lebanon,"89,186",,683,,"45,820","42,683",264,"13,087",100,"1,288,840","189,128","6,814,657",Asia,,,,
59,China,"86,151",+36,"4,634",,"81,098",419,9,60,3,"160,000,000","111,163","1,439,323,776",Asia,,,,
60,Bahrain,"82,786",,328,,"80,174","2,284",19,"48,091",191,"1,803,190","1,047,478","1,721,458",Asia,,,,
61,Moldova,"79,566",,"1,866",,"59,220","18,480",776,"19,740",463,"386,108","95,793","4,030,662",Europe,,,,
